0,902,158,907,136,885,141,927,144,869,143,973,210,842,213,1035,302,804,308,1024,397,820,420,964,448,885,457,1003,448,857,464,1011,561,830,455
1,867,148,875,126,850,133,892,127,828,133,944,184,813,203,1016,287,774,308,1004,388,805,414,951,433,865,444,1003,559,898,608,1016,651,917,650
2,864,152,872,133,839,137,892,127,820,140,944,177,804,202,1018,286,777,306,1012,380,801,405,958,425,872,436,1008,562,923,600,1026,648,966,655
3,864,166,883,152,848,151,911,152,832,154,943,190,816,207,1017,290,780,305,1006,390,811,415,939,347,869,355,937,306,811,299,933,342,819,388
4,868,173,885,159,855,159,919,156,844,154,959,209,816,220,1022,302,782,309,1014,397,805,408,939,329,852,329,993,318,790,320,999,396,812,412
5,870,176,887,163,855,161,921,157,840,155,959,215,820,221,1023,307,777,323,1010,400,801,419,936,324,849,318,983,351,810,347,991,400,810,403
6,870,174,886,161,854,160,921,153,837,153,959,214,823,222,1024,303,780,320,1009,401,801,414,935,332,848,325,977,351,809,339,1004,406,804,419
7,871,175,886,162,856,161,920,156,839,153,958,215,820,220,1025,305,777,323,1008,401,801,415,931,326,847,322,981,356,813,350,1003,407,804,414
8,866,173,882,160,851,160,918,154,834,153,956,214,819,221,1022,304,776,322,1006,401,800,416,933,335,845,327,975,332,800,334,1001,407,802,419
9,871,174,886,162,857,160,920,155,840,152,958,213,821,217,1025,306,778,320,1008,399,802,415,936,326,849,320,981,340,802,340,1004,406,806,412
10,868,172,886,160,853,157,924,154,838,150,962,216,825,220,1028,305,782,324,1012,402,805,415,941,336,849,328,978,368,815,344,1007,407,808,413
11,889,167,904,154,873,154,931,146,849,147,968,203,836,214,1040,295,793,315,1027,394,817,412,954,330,864,319,1021,421,815,336,1024,406,818,419
12,902,157,919,144,889,141,948,142,877,134,990,199,847,207,1057,299,804,316,1035,396,828,410,953,314,878,309,1026,297,817,315,978,357,860,365
13,904,163,921,150,891,147,950,147,877,140,993,206,844,214,1058,304,807,321,1039,401,832,414,957,320,884,315,1025,307,818,319,980,365,864,377
