0,529,186,543,167,518,164,546,159,482,148,574,196,442,205,672,160,345,253,671,28,297,344,485,461,400,443,439,626,382,613,417,682,385,673
1,518,166,535,148,509,146,551,138,486,130,587,183,449,185,673,148,348,238,680,55,300,326,491,450,412,431,437,594,387,582,426,663,402,648
2,515,169,530,150,506,148,541,133,478,121,577,175,438,182,664,137,336,235,668,18,297,319,489,440,405,423,430,587,376,568,424,655,395,641
3,529,141,541,126,519,127,536,119,478,115,573,168,428,179,662,145,330,239,680,20,296,334,493,426,412,406,451,533,371,529,428,621,377,554
4,526,134,536,119,515,120,532,111,476,109,567,163,424,174,664,144,325,233,674,28,290,329,488,416,407,396,454,527,370,530,432,627,378,562
5,522,139,536,121,510,123,534,116,471,113,568,169,424,177,653,145,329,236,666,27,290,328,488,418,410,397,448,534,368,532,428,626,376,562
6,521,143,535,127,508,129,535,123,472,118,569,174,425,180,655,152,328,241,668,37,293,333,490,421,411,401,452,533,371,534,424,634,377,580
7,519,158,533,142,505,143,537,138,472,131,568,186,430,190,653,164,331,250,666,36,294,341,491,429,411,408,453,538,373,541,426,636,379,579
8,527,138,542,122,515,122,547,116,482,112,578,166,438,174,666,137,343,232,670,30,311,316,505,415,423,399,472,527,388,529,450,620,409,599
9,538,131,549,114,527,115,543,106,487,102,574,154,437,167,659,129,342,226,677,26,307,310,505,402,427,385,472,514,391,518,450,602,400,551
10,540,59,555,45,528,42,567,42,505,33,597,90,464,91,687,31,370,151,720,-32,337,228,539,330,452,320,506,443,424,457,492,524,434,484
11,555,24,571,7,538,7,572,-1,494,-5,599,52,461,70,673,15,367,137,749,-12,346,224,545,305,463,293,525,419,436,426,508,500,446,446
12,574,17,587,1,559,0,588,-8,520,-8,622,40,472,58,695,0,386,125,727,-59,360,217,555,297,475,287,536,405,450,413,515,484,453,409
13,598,12,611,-2,583,-3,612,-9,546,-11,645,35,506,54,723,0,411,120,728,-16,380,206,582,292,501,283,560,400,470,407,535,479,471,425
14,613,-4,628,-17,599,-19,632,-20,565,-24,662,17,516,39,749,-6,419,105,905,-60,397,201,597,276,511,264,568,393,483,392,546,468,493,400
15,647,-6,658,-21,629,-19,662,-20,596,-20,692,13,552,31,793,-15,452,100,936,-34,421,199,621,268,538,258,596,387,505,389,569,462,507,395
16,668,11,681,-1,653,-2,687,-4,618,-11,713,34,580,48,811,2,478,111,915,-39,453,208,642,281,559,266,605,400,524,397,584,471,527,407
17,686,32,697,16,672,17,694,8,630,6,725,60,592,69,811,34,493,131,835,-54,462,212,651,306,570,286,618,412,525,409,589,490,530,427
18,723,40,736,22,708,23,750,10,676,9,778,66,634,79,849,43,530,137,875,-41,499,223,686,318,604,302,641,423,557,423,613,497,564,453
19,719,79,731,65,708,67,733,59,675,52,765,100,632,107,848,81,535,167,880,-29,487,249,681,341,595,321,635,438,547,440,604,522,556,489
20,708,117,721,104,697,104,721,99,662,91,746,141,613,149,831,119,516,199,856,11,473,279,652,374,574,357,610,479,530,472,583,552,541,529
21,705,138,719,120,692,118,731,108,657,100,752,160,615,161,829,134,514,213,857,32,480,285,657,379,579,358,614,478,524,483,577,565,541,546
22,712,125,727,108,698,107,744,98,667,89,762,152,620,150,842,124,522,203,868,23,489,283,662,368,587,346,629,468,537,469,593,547,541,483
23,712,110,727,92,698,90,741,82,665,74,755,137,616,136,840,108,522,190,870,14,490,269,659,354,588,334,628,462,540,455,596,538,545,454
24,679,132,698,116,669,114,714,107,641,97,732,152,595,157,815,129,497,206,845,25,460,289,632,377,558,355,598,475,514,471,565,558,508,487
25,683,142,698,127,671,125,715,115,645,103,740,163,598,162,817,145,500,212,843,44,464,287,636,383,560,359,593,488,506,480,560,567,510,504
26,679,142,694,126,669,125,706,119,638,110,729,168,590,166,810,144,496,212,837,47,460,288,628,380,556,355,593,478,502,472,556,564,502,486
27,683,128,700,110,670,110,713,99,637,91,728,156,588,153,811,133,489,196,842,39,457,277,626,367,553,342,589,471,498,460,554,545,503,461
28,682,150,698,134,672,133,715,121,646,113,740,172,593,169,818,156,499,212,843,54,457,287,630,381,555,355,591,482,499,473,549,568,496,488
29,705,156,724,140,697,137,738,131,666,116,758,184,614,179,835,160,516,219,871,65,475,289,649,393,570,364,607,502,511,486,564,580,518,491
30,706,167,721,151,694,149,741,143,666,130,756,195,617,189,839,170,520,228,872,81,479,299,653,397,575,373,611,499,516,488,570,582,519,508
31,718,183,734,167,707,164,754,160,681,146,769,208,630,201,847,192,532,243,884,98,490,317,662,415,585,386,623,518,526,504,582,598,529,513
32,726,187,742,171,716,169,758,164,686,152,773,211,637,209,857,194,538,245,887,106,493,320,668,418,592,390,625,519,528,505,584,600,537,518
33,738,177,756,161,727,159,772,154,695,140,785,207,648,200,868,183,548,240,901,99,508,318,679,411,600,382,637,513,536,493,597,588,551,499
34,734,176,750,160,723,158,769,150,692,136,785,202,642,196,867,179,541,240,897,94,505,311,677,404,599,375,636,502,534,491,590,584,542,487
35,730,184,745,168,718,165,760,159,687,146,777,207,633,205,862,188,537,245,891,107,492,319,667,416,592,385,627,515,528,496,583,593,526,506
36,744,191,760,175,733,172,773,166,701,153,792,215,649,215,869,204,549,254,903,122,507,329,679,422,598,393,632,521,531,504,586,601,529,510
37,764,197,779,181,753,180,791,170,718,161,808,220,660,216,891,208,561,255,931,127,521,328,693,422,611,390,639,522,544,492,593,605,538,517
38,787,207,802,192,776,189,815,184,742,169,834,231,689,220,919,218,587,255,971,133,540,323,715,424,629,391,655,523,559,500,603,607,553,519
39,825,227,846,212,814,208,853,206,778,185,868,253,719,237,944,248,618,266,1007,158,566,333,741,437,653,405,672,533,579,512,617,620,575,532
40,871,235,891,222,859,214,898,212,820,190,908,257,763,239,995,258,657,268,1046,173,612,339,771,440,687,403,706,541,605,519,647,623,607,551
41,907,230,928,218,895,208,933,210,854,184,942,256,794,231,1030,261,692,261,1091,178,631,336,802,436,716,393,736,530,629,511,668,612,631,528
42,948,241,969,226,937,221,975,221,897,201,984,270,831,244,1077,274,725,269,1141,191,665,341,833,447,747,408,760,546,659,521,696,621,652,540
43,965,254,984,240,954,234,991,235,918,213,1006,281,855,254,1097,287,731,276,1162,204,669,352,840,457,758,411,760,563,666,530,694,639,659,544
44,959,269,979,256,950,251,987,243,916,221,1001,291,848,256,1095,298,733,283,1169,222,669,356,844,474,757,423,752,567,666,542,690,644,666,551
45,981,272,1002,259,972,252,1010,248,936,226,1020,298,876,264,1111,304,753,286,1174,253,686,351,855,474,776,419,752,577,672,534,690,652,672,539
46,989,283,1008,268,979,263,1015,259,945,239,1027,307,875,271,1124,314,752,292,1184,255,687,361,859,495,777,435,752,589,676,549,697,647,674,576
47,1007,285,1027,268,996,263,1033,258,954,235,1038,309,891,275,1139,319,764,295,1142,313,700,371,868,506,787,446,742,613,683,559,701,642,685,566
48,995,285,1019,270,986,262,1023,257,947,230,1033,306,881,271,1139,315,758,294,1207,243,696,363,861,510,783,450,728,587,682,561,695,644,690,564
49,1005,279,1028,265,997,256,1038,250,961,220,1039,301,898,265,1145,308,763,289,1153,290,703,358,877,501,797,443,740,586,694,554,700,641,687,610
